Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT3G05660	-6.46399423649974	-1.36957454591658	-12.3441296466637	4.13300349669802e-07	4.18001246776733e-05	5.63240055358377	0.000557119532253569	0.0379367349731012
AT3G05950	3.03116302471478	-1.54791775083219	6.91327883742596	5.68881918541768e-05	0.000955880347337969	2.17245343252622	0.0028339226742542	0.0495900113821711
AT3G06655	-3.02055502209203	-3.62397070786059	-5.81443499742566	0.000217609176755067	0.00233733602174939	0.825019891371171	0.000796478140182355	0.0397964638909443
AT3G08665	2.2367291897467	-3.76530352561975	4.35382673947925	0.00166980005701601	0.00957251556473124	-0.880252038433333	0.000488799538527651	0.0378719595669757
AT3G09870	-5.20377484317238	-2.53633730315175	-10.9274444773695	1.21112160750805e-06	8.07282087038592e-05	4.691995239277	0.000138945423559855	0.0344675491483895
AT3G10430	-3.1190226161892	-3.57571960499476	-5.75112932848977	0.00023622369396805	0.00246241362815318	0.763706523913337	0.00187475059793973	0.0460039591387805
AT3G15356	-3.49005081620401	3.78321988711294	-20.161043768063	4.86462450300304e-09	3.68293771658784e-06	11.4194462990807	0.0001181963101482	0.0344675491483895
AT3G15500	-2.17281680472003	3.51915369572165	-12.686476851136	3.24046008188168e-07	3.59686634870181e-05	7.35626693422436	0.00250702192536911	0.0481753000043669
AT3G15540	-2.69354639221344	3.66878994680105	-14.645961128626	8.9416676478461e-08	1.79032381785983e-05	8.65688567840774	0.00043535940344297	0.0370044186859767
AT3G16070	-2.06131276683822	-0.130988266379424	-6.35962326492425	0.000109719095234665	0.0014735613712763	1.69345974325986	0.00252340178982902	0.0481753000043669
AT3G16530	-3.48659160687085	3.3085740451301	-16.786592886103	2.59749347630346e-08	9.07725929935868e-06	9.80691991646664	0.000755167599127748	0.0396099070782131
AT3G16580	-2.56061551461084	-3.84620799681479	-4.84333229334786	0.000815216133385951	0.00581028538183969	-0.274728128976326	0.00117709425759882	0.0412091000815381
AT3G19030	-2.02012565716026	5.22447330822837	-17.779743701371	1.53810111988714e-08	6.90789889402872e-06	10.3929838212372	0.00027402583474978	0.0344675491483895
AT3G19710	-2.70570268406152	6.09095541524495	-18.0565956671341	1.33564397064422e-08	6.26522855645184e-06	10.53655525269	0.000678617721233676	0.0379367349731012
AT3G20395	-3.99602208525265	1.12607822287602	-9.6590196644562	3.53307176568943e-06	0.000164533103070718	4.93718103468061	0.0026394270458634	0.0484881756401476
AT3G20600	-2.11340144198603	1.00338345280507	-8.0745863035136	1.60694509585685e-05	0.000428378582998137	3.54871117822783	0.00138514116652644	0.0422364449144046
AT3G21320	-5.86576290625282	0.165421714349696	-15.2899649269252	6.06182805635978e-08	1.43416356997698e-05	7.56744563758875	0.000526500901565807	0.0379367349731012
AT3G21330	-3.72952883091302	1.32998626908209	-12.3224267111164	4.19809402983551e-07	4.18302596625464e-05	6.86484366471742	0.00144181596826076	0.0427498475219547
AT3G21720	3.58303784853154	2.76647044923094	16.4811291486881	3.06976269349575e-08	9.8003098617169e-06	9.4834674977494	0.000338926202935408	0.0370044186859767
AT3G21890	-3.315536736196	-1.61931148302653	-6.56441881980256	8.56767793371561e-05	0.00122938677254693	1.814752588957	0.00255729679247763	0.0481753000043669
AT3G22120	-2.49215249191181	7.38964009092991	-20.6871165829063	3.83931105719555e-09	3.08285043616872e-06	11.7787040403176	0.000182494703838465	0.0344675491483895
AT3G22142	-2.52392320070023	3.53656800330021	-15.0326756258296	7.06711561743154e-08	1.55691652984422e-05	8.89041667038161	0.00033109861886782	0.0369665689050434
AT3G22231	-6.63119343181453	-0.719346197286864	-6.10494010529811	0.000150348883995979	0.00180268992222871	1.33911701664976	0.00242819759311619	0.0477231880657405
AT3G22235	-5.06342252803015	0.709483807040828	-11.1354269658951	1.02664861369367e-06	7.28659092749234e-05	5.85735273210427	0.00253469991658051	0.0481753000043669
AT3G22275	-5.79473695504757	-0.920233396318948	-11.8605432128675	5.88936748126395e-07	5.11660523011581e-05	5.67903111825058	0.00256794444827313	0.0481753000043669
AT3G22740	-3.43139278517626	2.93227221198318	-12.7154515032148	3.17528105258094e-07	3.58036584388467e-05	7.39591748032837	0.000428341368749141	0.0370044186859767
AT3G22820	-2.1247650345424	0.24788950132313	-6.64162459220869	7.81545531624106e-05	0.00116383264131064	2.01994832770658	0.00174632964370591	0.0449472026212343
AT3G23550	-3.032016604516	2.29469198780739	-16.4028807982251	3.20547768482673e-08	9.87659856889983e-06	9.43136580168986	1.94584784791729e-05	0.0344675491483895
AT3G24520	-2.00486821689707	3.61026312234265	-16.4078042631048	3.19674594285212e-08	9.87659856889983e-06	9.67602701110543	5.93953076823972e-05	0.0344675491483895
AT3G25717	-2.01270916632024	4.97954447960115	-14.5896259611194	9.25786747740816e-08	1.79032381785983e-05	8.55435176510136	0.00106149476705442	0.0407555695209585
